id;interest;period;interest_type;units;start_date;end_date;scrapping_url;scrapping_tag;scrapping_tag_bis
1;85504;Buckinghamshire;Engineer;94060;2022-01-11;2022-01-11;monitor revolutionary;Hat;neural intuitive
2;91954;Towels;HTTP unleash array;48588;2022-01-11;2022-01-11;Shirt feed;digital;Awesome Portugal
3;31980;Zambian attitude transmitting;Borders;18100;2022-01-11;2022-01-11;e-business Avon deposit;networks Soft;aggregate
4;82397;Steel USB overriding;Enterprise-wide IB;40763;2022-01-11;2022-01-11;cross-platform;Som Savings;THX turquoise
5;54672;copy;Baby Consultant Corporate;5311;2022-01-11;2022-01-11;Guinea;Sausages;Florida connecting
6;45840;JSON Vision-oriented asymmetric;Soft Direct out-of-the-box;85628;2022-01-11;2022-01-11;TCP e-business mindshare;invoice;demand-driven mindshare
7;59474;Buckinghamshire generating;Account Savings Kansas;93809;2022-01-11;2022-01-11;Jewelery;Plastic high-level Shoes;back-end
8;5994;port;Sharable;34640;2022-01-11;2022-01-11;Dynamic Soft haptic;New;Morocco Canyon transmit
9;51645;Berkshire Rubber bricks-and-clicks;Pants generation Health;43383;2022-01-11;2022-01-11;Rubber Optimized;Saint;pink Down-sized Specialist
10;52109;Accounts override;Dinar;82162;2022-01-11;2022-01-11;deposit;Knoll Account;Customer
