id;parent;categorie_label;categorie_desc;income;isexpense
1;13259;Savings;firmware Shoes;true;true
2;9677;Buckinghamshire matrix;local;false;true
3;10870;Virginia;Hollow Uruguay;true;true
4;55725;Spring Developer;Manager protocol;true;true
5;15813;Developer sensor Generic;Account;true;false
6;3665;back-end;Dollar;false;true
7;30713;alarm Ergonomic architect;deposit alarm Unions;false;true
8;67969;Money;primary Guadeloupe plum;true;false
9;11615;Buckinghamshire Estates JSON;Re-contextualized;true;true
10;77211;pink Savings;Cove Utah;true;true
