id;institution_label;code;active;currency;iso_country_code
1;Hat Intranet Electronics;support;true;SGD;Bedfordshire Program Avon
2;metrics Baby;Tools monitor;false;EUR;red
3;Riel experiences;Direct Engineer applications;false;VND;Pants Avon
4;auxiliary collaborative;architecture;false;EUR;neural Coordinator 24
5;connect;compress;false;EUR;Cheese Pula bus
6;Organized input Toys;Hat Integration Credit;false;EUR;Garden Regional interactive
7;New;digital Money;false;AUD;quantifying compelling
8;Electronics monitor;haptic Account Expanded;false;EUR;indexing Automotive withdrawal
9;Car;Generic;false;USD;firewall Chips
10;Springs;override quantifying website;false;SGD;Court uniform Island
