id;name;project_type;initial_value;current_value
1;Directives;supply-chains Estates;61475;95077
2;infrastructures Home;Land;84388;67128
3;deposit;Car;90691;28160
4;Auto;calculating cross-platform functionalities;77441;29319
5;Re-contextualized;task-force;81587;4455
6;Iowa e-enable Handcrafted;Movies;60994;43511
7;Buckinghamshire Virtual;neural Ergonomic up;8632;74408
8;Zimbabwe proactive Technician;bandwidth Gorgeous RAM;17196;30221
9;quantifying;invoice Implementation;44816;55905
10;coherent index;multi-byte;32037;84083
