id;transaction_id;transaction_date;description;local_amount;local_currency;amount;currency;note;year;month;week;categorized_date;add_date;checked;rebased_date;deleted
1;Future;2022-01-11T01:03:54;Delaware;24862;TTD;87421;SYP;indexing;45268;92007;7940;2022-01-10T22:11:39;2022-01-11T15:23:13;false;2022-01-11T10:56:50;false
2;B2B;2022-01-11T14:45:41;Computer Quality;85906;UGX;58065;BOB;primary Branding;5040;65584;79523;2022-01-11T15:23:29;2022-01-11T18:24:53;true;2022-01-11T06:07:38;false
3;Loan Global Peso;2022-01-11T07:38:35;Specialist Operations Configuration;95700;CHW;25357;XPD;Tools;21820;6100;45290;2022-01-11T12:02:23;2022-01-11T13:02:25;true;2022-01-11T14:25:43;false
4;olive withdrawal Security;2022-01-11T00:37:29;Assimilated neural;67541;AUD;22452;AOA;navigate Bedfordshire Cambridgeshire;75895;91974;99073;2022-01-11T16:04:21;2022-01-10T21:13:02;true;2022-01-11T00:21:36;true
5;Unions;2022-01-10T23:17:32;synthesize Florida Fresh;6664;SHP;87328;SBD;Salad Optimization;81601;92518;99177;2022-01-11T04:38:03;2022-01-11T15:40:20;false;2022-01-11T09:54:40;true
6;Division;2022-01-11T19:38:45;background Virtual modular;29652;XXX;78427;VEF;invoice evolve;44801;18029;80049;2022-01-11T03:26:46;2022-01-10T23:45:10;true;2022-01-11T06:57:45;true
7;projection microchip payment;2022-01-11T11:01:02;info-mediaries;19242;XBA;72542;KZT;Lead backing;11987;72814;86533;2022-01-11T04:03:06;2022-01-10T20:44:19;true;2022-01-11T07:23:06;false
8;Gloves ADP;2022-01-11T07:01:00;Advanced syndicate Jersey;2005;INR;62509;COU;deposit International bandwidth;76134;52060;44670;2022-01-11T04:25:29;2022-01-11T17:59:49;true;2022-01-11T08:59:28;false
9;Principal Ruble;2022-01-11T15:05:17;Tasty;54821;STD;72178;MKD;application Ohio;18260;58036;99788;2022-01-11T04:28:30;2022-01-11T01:37:12;true;2022-01-11T16:58:10;true
10;JBOD Refined navigate;2022-01-11T07:58:57;Associate;55746;XXX;28304;CDF;Assistant content;61115;45616;1654;2022-01-11T03:30:34;2022-01-11T07:23:25;false;2022-01-11T18:46:06;true
