id;bridge_account_id;type;status;balance;iso_currency_code;name
1;Persistent platforms Metal;Handmade override bypass;Station systems;12576;HTG;Path next Bike
2;hacking exploit;toolset secondary Producer;Practical Gorgeous;594;MZN;Sausages
3;overriding Washington withdrawal;viral;teal;96061;SYP;compress Fish
4;RSS Computer online;Re-engineered;Virginia solid Fish;39405;NOK;Wyoming
5;Jersey;Chips;array;69689;TWD;program Lead Kansas
6;Bedfordshire;Chips;Borders SCSI;91331;HKD;e-markets Sausages parsing
7;Borders improvement;Buckinghamshire Heights Michigan;Cambridgeshire;32190;PHP;Leone
8;grid-enabled Facilitator Concrete;Gorgeous redundant Account;PCI Keyboard;48942;BHD;logistical sky Wyoming
9;Gorgeous;Practical directional;CSS Keyboard distributed;34504;LKR;plum Outdoors Mississippi
10;structure matrix;wireless;users;91888;MWK;United
