id;run_type;run_status;run_start;run_end
1;Avon;Doing;2022-01-13T01:41:15;2022-01-13T08:06:24
2;Beauty;Error;2022-01-13T13:45:36;2022-01-13T01:51:54
3;Awesome;ToDo;2022-01-13T01:03:57;2022-01-13T13:15:49
4;Virgin;InProgess;2022-01-13T11:46:20;2022-01-13T11:21:06
5;Dynamic Fiji Louisiana;Finished;2022-01-13T09:43:09;2022-01-13T12:52:15
6;Intuitive;Done;2022-01-12T19:32:11;2022-01-13T10:04:09
7;Intelligent lime;Doing;2022-01-12T20:07:28;2022-01-13T12:49:41
8;Kitts Granite Falls;Finished;2022-01-13T12:31:26;2022-01-12T15:43:45
9;viral matrix lavender;Done;2022-01-13T10:23:02;2022-01-13T05:55:06
10;redundant connect SAS;Pending;2022-01-13T04:57:19;2022-01-13T08:02:28
