id;filename;description;amount;amount_in;amount_out;account_num;transaction_date;date_format;field_separator;has_header;note;locale;multiple_account;encoding;sign
1;Soft Field;mobile;53430;69019;10142;82949;16987;Product;Movies;99227;high-level Inlet;7032;69104;Investment;82883
2;Peso;Beauty Car;32833;14926;53990;94443;71166;generation;Unbranded bluetooth open-source;78755;Incredible Division;3291;97803;Accountability bleeding-edge fault-tolerant;23940
3;deposit Borders SSL;Plastic Designer;30666;14320;89888;66336;90716;Cambridgeshire protocol Configuration;hacking;90572;array synthesize Alaska;61877;46821;Indiana;2373
4;purple;Cambridgeshire maximized;6209;82647;88291;47005;15694;Auto;calculating plug-and-play Dinar;14913;Rustic Towels virtual;13497;4215;Berkshire frictionless;76000
5;Books;HDD Facilitator;26876;10512;57610;54526;63823;Concrete Towels;Vermont Bacon;84782;online Generic protocol;98775;53449;Table open-source brand;59428
6;alarm Identity copy;Account;86281;30750;30746;53712;15358;Costa;pink South;28635;Inverse Money;80664;58508;stable;98330
7;Generic turquoise;cyan;74428;52156;64402;96618;3723;online;Legacy Gloves;98574;Buckinghamshire;19336;31607;Investor;55602
8;Account;Cambridgeshire parse transmitter;3849;71097;47779;84157;37300;Personal panel parsing;portals infrastructures;77787;synthesizing Specialist;48272;15195;Steel Guam program;72488
9;connecting Towels;Strategist Industrial;46900;3872;7311;99237;56796;Sports;Carolina Architect;16634;compressing Sudanese turquoise;53863;91614;Consultant Incredible Licensed;12256
10;Balanced;Coordinator Cambridgeshire;85238;42716;98539;40684;87894;approach;Cotton AGP Incredible;76727;communities Chair;12982;48243;sensor;51292
