id;isduplicate;date_add;action;checked
1;false;2022-01-12T13:33:43;e-commerce Small connecting;true
2;false;2022-01-12T10:04:17;matrix methodologies Borders;true
3;true;2022-01-12T15:39:08;Tasty Account;true
4;false;2022-01-12T00:06:20;Awesome;false
5;true;2022-01-12T00:06:50;Persevering matrix Multi-tiered;true
6;false;2022-01-12T19:39:24;payment ability Turkey;false
7;false;2022-01-12T07:58:30;Checking Trail hack;true
8;false;2022-01-12T03:32:45;blockchains deposit Frozen;false
9;false;2022-01-12T14:56:05;quantify Designer;true
10;false;2022-01-12T08:44:03;Money Automotive;true
