id;run_type;status;add_date;start_date;end_date
1;15070;31146;2022-01-11T22:22:04;2022-01-12T07:13:22;2022-01-12T06:06:55
2;84749;81831;2022-01-12T09:01:38;2022-01-12T17:04:23;2022-01-12T08:47:19
3;16934;83522;2022-01-12T15:08:37;2022-01-12T12:00:04;2022-01-12T16:57:23
4;7572;28953;2022-01-12T00:23:26;2022-01-12T17:01:37;2022-01-12T15:01:08
5;90579;77475;2022-01-12T15:46:39;2022-01-12T13:03:26;2022-01-12T14:21:34
6;44758;18151;2022-01-12T10:44:30;2022-01-12T15:03:37;2022-01-12T16:19:38
7;96211;69827;2022-01-12T08:53:18;2022-01-12T14:24:42;2022-01-12T07:36:37
8;98219;64152;2022-01-12T09:27:26;2022-01-12T00:17:21;2022-01-11T23:03:36
9;4721;77600;2022-01-12T04:28:56;2022-01-12T08:30:28;2022-01-12T13:07:35
10;60679;32577;2022-01-12T07:15:26;2022-01-12T07:50:00;2022-01-12T17:58:21
